Date,Open,High,Low,Close,Adj Close,Volume,,
01/03/2010,1.518511,1.537066,1.48056,1.518372,1.518372,0,,
01/04/2010,1.51911,1.552289,1.513409,1.530011,1.530011,0,,
01/05/2010,1.530011,1.533695,1.423893,1.452201,1.452201,0,,
01/06/2010,1.452391,1.512699,1.43505,1.494433,1.494433,0,,
01/07/2010,1.49459,1.572302,1.487852,1.569809,1.569809,0,,
01/08/2010,1.569809,1.599616,1.533554,1.546599,1.546599,0,,
01/09/2010,1.535226,1.592002,1.529894,1.579579,1.579579,0,,
01/10/2010,1.571512,1.610202,1.565803,1.577412,1.577412,0,,
01/11/2010,1.601999,1.629832,1.548851,1.555621,1.555621,0,,
01/12/2010,1.557147,1.590837,1.535579,1.54371,1.54371,0,,
01/01/2011,1.557608,1.606013,1.541592,1.58293,1.58293,0,,
01/02/2011,1.603181,1.62779,1.596908,1.610047,1.610047,0,,
01/03/2011,1.628532,1.64007,1.594007,1.607407,1.607407,0,,
01/04/2011,1.603541,1.674313,1.597572,1.665002,1.665002,0,,
01/05/2011,1.67009,1.673724,1.606606,1.648777,1.648777,0,,
01/06/2011,1.646551,1.649675,1.591571,1.607588,1.607588,0,,
01/07/2011,1.604699,1.647039,1.579005,1.636849,1.636849,0,,
01/08/2011,1.641497,1.66182,1.611396,1.630763,1.630763,0,,
01/09/2011,1.625012,1.625805,1.533201,1.559941,1.559941,0,,
01/10/2011,1.558263,1.615091,1.528608,1.611188,1.611188,0,,
01/11/2011,1.607769,1.611811,1.542805,1.559795,1.559795,0,,
01/12/2011,1.569908,1.577312,1.536641,1.541592,1.541592,0,,
01/01/2012,1.552602,1.579529,0.637389,1.570845,1.570845,0,,
01/02/2012,1.570845,1.597827,1.565411,1.592205,1.592205,0,,
01/03/2012,1.592357,1.603335,1.560403,1.601691,1.601691,0,,
01/04/2012,1.601691,1.629992,1.580778,1.628134,1.628134,0,,
01/05/2012,1.623377,1.624959,1.536783,1.548299,1.548299,0,,
01/06/2012,1.539693,1.578109,1.527207,1.570697,1.570697,0,,
01/07/2012,1.570697,1.576541,1.539622,1.571339,1.571339,0,,
01/08/2012,1.566661,1.59109,1.549427,1.579031,1.579031,0,,
01/09/2012,1.586672,1.630789,1.582905,1.614518,1.614518,0,,
01/10/2012,1.612383,1.622113,1.591698,1.607459,1.607459,0,,
01/11/2012,1.613424,1.617599,1.58318,1.604107,1.604107,0,,
01/12/2012,1.601537,1.630603,1.599795,1.616292,1.616292,0,,
01/01/2013,1.62364,1.638404,1.569341,1.579779,1.579779,0,,
01/02/2013,1.58705,1.588058,1.5075,1.51676,1.51676,0,,
01/03/2013,1.5163,1.526997,1.483878,1.519711,1.519711,0,,
01/04/2013,1.519757,1.55642,1.503986,1.549427,1.549427,0,,
01/05/2013,1.55376,1.559819,1.501073,1.522905,1.522905,0,,
01/06/2013,1.520196,1.5752,1.516829,1.520427,1.520427,0,,
01/07/2013,1.520612,1.541711,1.481899,1.524204,1.524204,0,,
01/08/2013,1.517589,1.569908,1.51062,1.551109,1.551109,0,,
01/09/2013,1.551109,1.619512,1.550652,1.616893,1.616893,0,,
01/10/2013,1.618883,1.625911,1.589926,1.602615,1.602615,0,,
01/11/2013,1.60439,1.637331,1.585515,1.636902,1.636902,0,,
01/12/2013,1.636902,1.657413,1.622692,1.649512,1.649512,0,,
01/01/2014,1.656397,1.666639,1.631508,1.649838,1.649838,0,,
